/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:886: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  warnings.warn("The use of the transforms.RandomSizedCrop transform is deprecated, " +
/home/ubuntu/miniconda3/envs/prefix/lib/python3.7/site-packages/torchvision/transforms/transforms.py:285: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 23 | Batch 90/100 | Loss 1.367372
100 Test Acc = 51.49% +- 1.98%
best model! save...
Epoch 24 | Batch 0/100 | Loss 1.519302
Epoch 24 | Batch 10/100 | Loss 1.371913
Epoch 24 | Batch 20/100 | Loss 1.381364
Epoch 24 | Batch 30/100 | Loss 1.392343
Epoch 24 | Batch 40/100 | Loss 1.374863
Epoch 24 | Batch 50/100 | Loss 1.372268
Epoch 24 | Batch 60/100 | Loss 1.372417
Epoch 24 | Batch 70/100 | Loss 1.380692
Epoch 24 | Batch 80/100 | Loss 1.370357
Epoch 24 | Batch 90/100 | Loss 1.371101
100 Test Acc = 48.02% +- 1.97%
Epoch 25 | Batch 0/100 | Loss 1.200900
Epoch 25 | Batch 10/100 | Loss 1.383998
Epoch 25 | Batch 20/100 | Loss 1.403268
Epoch 25 | Batch 30/100 | Loss 1.359104
Epoch 25 | Batch 40/100 | Loss 1.364097
Epoch 25 | Batch 50/100 | Loss 1.359319
Epoch 25 | Batch 60/100 | Loss 1.364471
Epoch 25 | Batch 70/100 | Loss 1.378394
Epoch 25 | Batch 80/100 | Loss 1.381134
Epoch 25 | Batch 90/100 | Loss 1.370506
100 Test Acc = 52.56% +- 1.69%
best model! save...
Epoch 26 | Batch 0/100 | Loss 1.401223
Epoch 26 | Batch 10/100 | Loss 1.264772
Epoch 26 | Batch 20/100 | Loss 1.299207
Epoch 26 | Batch 30/100 | Loss 1.318611
Epoch 26 | Batch 40/100 | Loss 1.328210
Epoch 26 | Batch 50/100 | Loss 1.353502
Epoch 26 | Batch 60/100 | Loss 1.373711
Epoch 26 | Batch 70/100 | Loss 1.366560
Epoch 26 | Batch 80/100 | Loss 1.369727
Epoch 26 | Batch 90/100 | Loss 1.365251
100 Test Acc = 51.51% +- 1.78%
Epoch 27 | Batch 0/100 | Loss 1.306675
Epoch 27 | Batch 10/100 | Loss 1.357865
Epoch 27 | Batch 20/100 | Loss 1.373361
Epoch 27 | Batch 30/100 | Loss 1.382931
Epoch 27 | Batch 40/100 | Loss 1.378836
Epoch 27 | Batch 50/100 | Loss 1.373795
Epoch 27 | Batch 60/100 | Loss 1.375638
Epoch 27 | Batch 70/100 | Loss 1.373585
Epoch 27 | Batch 80/100 | Loss 1.375650
Epoch 27 | Batch 90/100 | Loss 1.372778
100 Test Acc = 52.92% +- 1.91%
best model! save...
Epoch 28 | Batch 0/100 | Loss 1.449738
Epoch 28 | Batch 10/100 | Loss 1.353256
Epoch 28 | Batch 20/100 | Loss 1.352399
Epoch 28 | Batch 30/100 | Loss 1.346541
Epoch 28 | Batch 40/100 | Loss 1.347353
Epoch 28 | Batch 50/100 | Loss 1.332141
Epoch 28 | Batch 60/100 | Loss 1.331151
Epoch 28 | Batch 70/100 | Loss 1.334819
Epoch 28 | Batch 80/100 | Loss 1.331536
Epoch 28 | Batch 90/100 | Loss 1.326010
100 Test Acc = 51.39% +- 1.93%
Epoch 29 | Batch 0/100 | Loss 1.363511
Epoch 29 | Batch 10/100 | Loss 1.341833
Epoch 29 | Batch 20/100 | Loss 1.331287
Epoch 29 | Batch 30/100 | Loss 1.327256
Epoch 29 | Batch 40/100 | Loss 1.344702
Epoch 29 | Batch 50/100 | Loss 1.315209
Epoch 29 | Batch 60/100 | Loss 1.318991
Epoch 29 | Batch 70/100 | Loss 1.326053
Epoch 29 | Batch 80/100 | Loss 1.333148
Epoch 29 | Batch 90/100 | Loss 1.330725
100 Test Acc = 52.35% +- 2.12%
Epoch 30 | Batch 0/100 | Loss 1.629414
Epoch 30 | Batch 10/100 | Loss 1.314988
Epoch 30 | Batch 20/100 | Loss 1.320269
Epoch 30 | Batch 30/100 | Loss 1.333005
Epoch 30 | Batch 40/100 | Loss 1.349559
Epoch 30 | Batch 50/100 | Loss 1.351539
Epoch 30 | Batch 60/100 | Loss 1.351056
Epoch 30 | Batch 70/100 | Loss 1.349052
Epoch 30 | Batch 80/100 | Loss 1.360221
Epoch 30 | Batch 90/100 | Loss 1.358645
100 Test Acc = 52.49% +- 1.64%
Epoch 31 | Batch 0/100 | Loss 1.390676
Epoch 31 | Batch 10/100 | Loss 1.356316
Epoch 31 | Batch 20/100 | Loss 1.358838
Epoch 31 | Batch 30/100 | Loss 1.356973
Epoch 31 | Batch 40/100 | Loss 1.357595
Epoch 31 | Batch 50/100 | Loss 1.349479
Epoch 31 | Batch 60/100 | Loss 1.347206
Epoch 31 | Batch 70/100 | Loss 1.344287
Epoch 31 | Batch 80/100 | Loss 1.342567
Epoch 31 | Batch 90/100 | Loss 1.333002
100 Test Acc = 53.23% +- 1.73%
best model! save...
Epoch 32 | Batch 0/100 | Loss 0.991257
Epoch 32 | Batch 10/100 | Loss 1.360479
Epoch 32 | Batch 20/100 | Loss 1.347610
Epoch 32 | Batch 30/100 | Loss 1.359692
Epoch 32 | Batch 40/100 | Loss 1.348959
Epoch 32 | Batch 50/100 | Loss 1.343306
Epoch 32 | Batch 60/100 | Loss 1.344932
Epoch 32 | Batch 70/100 | Loss 1.341368
Epoch 32 | Batch 80/100 | Loss 1.341922
Epoch 32 | Batch 90/100 | Loss 1.333863
100 Test Acc = 52.02% +- 1.91%
Epoch 33 | Batch 0/100 | Loss 1.131489
Epoch 33 | Batch 10/100 | Loss 1.305849
Epoch 33 | Batch 20/100 | Loss 1.278341
Epoch 33 | Batch 30/100 | Loss 1.317010
Epoch 33 | Batch 40/100 | Loss 1.314253
Epoch 33 | Batch 50/100 | Loss 1.314593
Epoch 33 | Batch 60/100 | Loss 1.299994
Epoch 33 | Batch 70/100 | Loss 1.305242
Epoch 33 | Batch 80/100 | Loss 1.307364
Epoch 33 | Batch 90/100 | Loss 1.306958
100 Test Acc = 55.00% +- 1.72%
best model! save...
Epoch 34 | Batch 0/100 | Loss 1.324675
Epoch 34 | Batch 10/100 | Loss 1.288451
Epoch 34 | Batch 20/100 | Loss 1.300950
Epoch 34 | Batch 30/100 | Loss 1.302957
Epoch 34 | Batch 40/100 | Loss 1.306878
Epoch 34 | Batch 50/100 | Loss 1.317968
Epoch 34 | Batch 60/100 | Loss 1.308083
Epoch 34 | Batch 70/100 | Loss 1.312676
Epoch 34 | Batch 80/100 | Loss 1.318265
Epoch 34 | Batch 90/100 | Loss 1.324226
100 Test Acc = 53.76% +- 2.00%
Epoch 35 | Batch 0/100 | Loss 1.588239
Epoch 35 | Batch 10/100 | Loss 1.368766
Epoch 35 | Batch 20/100 | Loss 1.324216
Epoch 35 | Batch 30/100 | Loss 1.317246
Epoch 35 | Batch 40/100 | Loss 1.325573
Epoch 35 | Batch 50/100 | Loss 1.319367
Epoch 35 | Batch 60/100 | Loss 1.305061
Epoch 35 | Batch 70/100 | Loss 1.307646
Epoch 35 | Batch 80/100 | Loss 1.313247
Epoch 35 | Batch 90/100 | Loss 1.318076
100 Test Acc = 51.75% +- 1.86%
Epoch 36 | Batch 0/100 | Loss 1.094030
Epoch 36 | Batch 10/100 | Loss 1.297408
Epoch 36 | Batch 20/100 | Loss 1.265061
Epoch 36 | Batch 30/100 | Loss 1.289257
Epoch 36 | Batch 40/100 | Loss 1.303365
Epoch 36 | Batch 50/100 | Loss 1.306304
Epoch 36 | Batch 60/100 | Loss 1.312633
Epoch 36 | Batch 70/100 | Loss 1.314214
Epoch 36 | Batch 80/100 | Loss 1.315819
Epoch 36 | Batch 90/100 | Loss 1.307970
100 Test Acc = 55.89% +- 1.93%
best model! save...
Epoch 37 | Batch 0/100 | Loss 1.301705
Epoch 37 | Batch 10/100 | Loss 1.340886
Epoch 37 | Batch 20/100 | Loss 1.322169
Epoch 37 | Batch 30/100 | Loss 1.328916
Epoch 37 | Batch 40/100 | Loss 1.350973
Epoch 37 | Batch 50/100 | Loss 1.330872
Epoch 37 | Batch 60/100 | Loss 1.325351
Epoch 37 | Batch 70/100 | Loss 1.326009
Epoch 37 | Batch 80/100 | Loss 1.324680
Epoch 37 | Batch 90/100 | Loss 1.312387
100 Test Acc = 54.29% +- 1.91%
Epoch 38 | Batch 0/100 | Loss 1.167253
Epoch 38 | Batch 10/100 | Loss 1.303426
Epoch 38 | Batch 20/100 | Loss 1.303259
Epoch 38 | Batch 30/100 | Loss 1.313786
Epoch 38 | Batch 40/100 | Loss 1.320768
Epoch 38 | Batch 50/100 | Loss 1.315623
Epoch 38 | Batch 60/100 | Loss 1.306117
